('user1@mail.cl', '11111111-1', 'user1', 'clave1', 'Bibliotecóloga'),
('user34@mail.cl', '11111111-34', 'user34', 'clave34', 'Bibliotecóloga'),
('user35@mail.cl', '11111111-35', 'user35', 'clave35', 'Bibliotecóloga'),
('user36@mail.cl', '11111111-36', 'user36', 'clave36', 'Bibliotecóloga'),
('user37@mail.cl', '11111111-37', 'user37', 'clave37', 'Bibliotecóloga'),
('user38@mail.cl', '11111111-38', 'user38', 'clave38', 'Bibliotecóloga'),
('user39@mail.cl', '11111111-39', 'user39', 'clave39', 'Bibliotecóloga'),
('user40@mail.cl', '11111111-40', 'user40', 'clave40', 'Bibliotecóloga'),
('user41@mail.cl', '11111111-41', 'user41', 'clave41', 'Bibliotecóloga'),
('user42@mail.cl', '11111111-42', 'user42', 'clave42', 'Bibliotecóloga'),
('user43@mail.cl', '11111111-43', 'user43', 'clave43', 'Bibliotecóloga'),
('user44@mail.cl', '11111111-44', 'user44', 'clave44', 'Bibliotecóloga'),
('user45@mail.cl', '11111111-45', 'user45', 'clave45', 'Bibliotecóloga'),
('user46@mail.cl', '11111111-46', 'user46', 'clave46', 'Bibliotecóloga'),
('user47@mail.cl', '11111111-47', 'user47', 'clave47', 'Bibliotecóloga'),
('user48@mail.cl', '11111111-48', 'user48', 'clave48', 'Bibliotecóloga'),
('user49@mail.cl', '11111111-49', 'user49', 'clave49', 'Bibliotecóloga'),
('user50@mail.cl', '11111111-50', 'user50', 'clave50', 'Bibliotecóloga'),
('user51@mail.cl', '11111111-51', 'user51', 'clave51', 'Bibliotecóloga'),
('user52@mail.cl', '11111111-52', 'user52', 'clave52', 'Bibliotecóloga'),
('user53@mail.cl', '11111111-53', 'user53', 'clave53', 'Bibliotecóloga'),
('user54@mail.cl', '11111111-54', 'user54', 'clave54', 'Bibliotecóloga'),
('user55@mail.cl', '11111111-55', 'user55', 'clave55', 'Bibliotecóloga'),
('user56@mail.cl', '11111111-56', 'user56', 'clave56', 'Bibliotecóloga'),
('user57@mail.cl', '11111111-57', 'user57', 'clave57', 'Bibliotecóloga'),
('user58@mail.cl', '11111111-58', 'user58', 'clave58', 'Bibliotecóloga'),
('user59@mail.cl', '11111111-59', 'user59', 'clave59', 'Bibliotecóloga'),
('user60@mail.cl', '11111111-60', 'user60', 'clave60', 'Bibliotecóloga'),
('user61@mail.cl', '11111111-61', 'user61', 'clave61', 'Bibliotecóloga'),
('user62@mail.cl', '11111111-62', 'user62', 'clave62', 'Bibliotecóloga'),
('user63@mail.cl', '11111111-63', 'user63', 'clave63', 'Bibliotecóloga'),
('user64@mail.cl', '11111111-64', 'user64', 'clave64', 'Bibliotecóloga'),
('user65@mail.cl', '11111111-65', 'user65', 'clave65', 'Bibliotecóloga'),
('user66@mail.cl', '11111111-66', 'user66', 'clave66', 'Bibliotecóloga'),
('user67@mail.cl', '11111111-67', 'user67', 'clave67', 'Bibliotecóloga'),
('user68@mail.cl', '11111111-68', 'user68', 'clave68', 'Bibliotecóloga'),
('user69@mail.cl', '11111111-69', 'user69', 'clave69', 'Bibliotecóloga'),
('user70@mail.cl', '11111111-70', 'user70', 'clave70', 'Bibliotecóloga'),
('user71@mail.cl', '11111111-71', 'user71', 'clave71', 'Bibliotecóloga'),
('user72@mail.cl', '11111111-72', 'user72', 'clave72', 'Bibliotecóloga'),
('user73@mail.cl', '11111111-73', 'user73', 'clave73', 'Bibliotecóloga'),
('user74@mail.cl', '11111111-74', 'user74', 'clave74', 'Bibliotecóloga'),
('user75@mail.cl', '11111111-75', 'user75', 'clave75', 'Bibliotecóloga'),
('user76@mail.cl', '11111111-76', 'user76', 'clave76', 'Bibliotecóloga'),
('user77@mail.cl', '11111111-77', 'user77', 'clave77', 'Bibliotecóloga'),
('user78@mail.cl', '11111111-78', 'user78', 'clave78', 'Bibliotecóloga'),
('user79@mail.cl', '11111111-79', 'user79', 'clave79', 'Bibliotecóloga'),
('user80@mail.cl', '11111111-80', 'user80', 'clave80', 'Bibliotecóloga'),
('user81@mail.cl', '11111111-81', 'user81', 'clave81', 'Bibliotecóloga'),
('user82@mail.cl', '11111111-82', 'user82', 'clave82', 'Bibliotecóloga'),
('user83@mail.cl', '11111111-83', 'user83', 'clave83', 'Bibliotecóloga'),
('user84@mail.cl', '11111111-84', 'user84', 'clave84', 'Bibliotecóloga'),
('user85@mail.cl', '11111111-85', 'user85', 'clave85', 'Bibliotecóloga'),
('user86@mail.cl', '11111111-86', 'user86', 'clave86', 'Bibliotecóloga'),
('user87@mail.cl', '11111111-87', 'user87', 'clave87', 'Bibliotecóloga'),
('user88@mail.cl', '11111111-88', 'user88', 'clave88', 'Bibliotecóloga'),
('user89@mail.cl', '11111111-89', 'user89', 'clave89', 'Bibliotecóloga'),
('user90@mail.cl', '11111111-90', 'user90', 'clave90', 'Bibliotecóloga'),
('user91@mail.cl', '11111111-91', 'user91', 'clave91', 'Bibliotecóloga'),
('user92@mail.cl', '11111111-92', 'user92', 'clave92', 'Bibliotecóloga'),
('user93@mail.cl', '11111111-93', 'user93', 'clave93', 'Bibliotecóloga'),
('user94@mail.cl', '11111111-94', 'user94', 'clave94', 'Bibliotecóloga'),
('user95@mail.cl', '11111111-95', 'user95', 'clave95', 'Bibliotecóloga'),
('user96@mail.cl', '11111111-96', 'user96', 'clave96', 'Bibliotecóloga'),
('user97@mail.cl', '11111111-97', 'user97', 'clave97', 'Bibliotecóloga'),
('user98@mail.cl', '11111111-98', 'user98', 'clave98', 'Bibliotecóloga'),
('user99@mail.cl', '11111111-99', 'user99', 'clave99', 'Bibliotecóloga'),
('user100@mail.cl', '11111111-100', 'user100', 'clave100', 'Bibliotecóloga'),
('user101@mail.cl', '11111111-101', 'user101', 'clave101', 'Bibliotecóloga'),
('user102@mail.cl', '11111111-102', 'user102', 'clave102', 'Bibliotecóloga'),
('user103@mail.cl', '11111111-103', 'user103', 'clave103', 'Bibliotecóloga'),
('user104@mail.cl', '11111111-104', 'user104', 'clave104', 'Bibliotecóloga'),
('user105@mail.cl', '11111111-105', 'user105', 'clave105', 'Bibliotecóloga'),
('user106@mail.cl', '11111111-106', 'user106', 'clave106', 'Bibliotecóloga'),
('user107@mail.cl', '11111111-107', 'user107', 'clave107', 'Bibliotecóloga'),
('user108@mail.cl', '11111111-108', 'user108', 'clave108', 'Bibliotecóloga'),
('user109@mail.cl', '11111111-109', 'user109', 'clave109', 'Bibliotecóloga'),
('user110@mail.cl', '11111111-110', 'user110', 'clave110', 'Bibliotecóloga'),
('user111@mail.cl', '11111111-111', 'user111', 'clave111', 'Bibliotecóloga'),
('user112@mail.cl', '11111111-112', 'user112', 'clave112', 'Bibliotecóloga'),
('user113@mail.cl', '11111111-113', 'user113', 'clave113', 'Bibliotecóloga'),
('user114@mail.cl', '11111111-114', 'user114', 'clave114', 'Bibliotecóloga'),
('user115@mail.cl', '11111111-115', 'user115', 'clave115', 'Bibliotecóloga'),
('user116@mail.cl', '11111111-116', 'user116', 'clave116', 'Bibliotecóloga'),
('user117@mail.cl', '11111111-117', 'user117', 'clave117', 'Bibliotecóloga'),
('user118@mail.cl', '11111111-118', 'user118', 'clave118', 'Bibliotecóloga'),
('user119@mail.cl', '11111111-119', 'user119', 'clave119', 'Bibliotecóloga'),
('user120@mail.cl', '11111111-120', 'user120', 'clave120', 'Bibliotecóloga'),
('user121@mail.cl', '11111111-121', 'user121', 'clave121', 'Bibliotecóloga'),
('user122@mail.cl', '11111111-122', 'user122', 'clave122', 'Bibliotecóloga'),
('user123@mail.cl', '11111111-123', 'user123', 'clave123', 'Bibliotecóloga'),
('user124@mail.cl', '11111111-124', 'user124', 'clave124', 'Bibliotecóloga'),
('user125@mail.cl', '11111111-125', 'user125', 'clave125', 'Bibliotecóloga'),
('user126@mail.cl', '11111111-126', 'user126', 'clave126', 'Bibliotecóloga'),
('user127@mail.cl', '11111111-127', 'user127', 'clave127', 'Bibliotecóloga'),
('user128@mail.cl', '11111111-128', 'user128', 'clave128', 'Bibliotecóloga'),
('user129@mail.cl', '11111111-129', 'user129', 'clave129', 'Bibliotecóloga'),
('user130@mail.cl', '11111111-130', 'user130', 'clave130', 'Bibliotecóloga');
